Title,RQ1 Year,RQ2 Venue,RQ3 VenueType,RQ3 PaperType,RQ4 MDETask,RQ4 SubCategoryOfModelGeneration,RQ5 SEActivity,RQ5 SETask,RQ6 ModelingLanguage,RQ6 ModelType,RQ7 ApplicationDomain,RQ8 FoundationLLMFamiliy,RQ9 Prompt-engineering,RQ10 EnhancementTechnique,RQ10 EnhancedLLM,RQ11 Integration,RQ12 InteractionPattern,RQ13 EffectivenessMetric,RQ13 TimeCostMetric,RQ13 ResourceCostMetric,RQ14 Baseline,RQ15 EvaluationSubjectType,RQ15 SourceCodeLink,RQ15 PromptLink,RQ15 EnhancedLLMLink,RQ15 EvaluationSubjectLink
Comparing Generative Chatbots Based on Process Requirements: A Case Study,2023,International Conference on Big Data,Conference,Benchmarking and evaluation,Model comprehension,N/A,Software Engineering Models and Methods,N/A,BPMN,Process,General,[GPT; PaLM],Zero-shot,No,N/A,Camunda Modeler,No,No,No,No,No,Closed,No,No,N/A,No
LLM-Based Class Diagram Derivation from User Stories with Chain-of-Thought Promptings,2024,"Annual Computers, Software, and Applications Conference",Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Class,General,GPT,Few-shot+Chain-of-thought,No,N/A,No,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj],No,No,LLM-based,Open,No,No,N/A,No
Automating Data Flow Diagram Generation from User Stories Using Large Language Models,2024,Workshop on Natural Language Processing for Requirements Engineering,Workshop,Proposed method,Model generation,Domain-specific modeling,Unspecified context,N/A,DSL,Data Flow,General,[GPT; Mistral; LLaMA],Few-shot,No,N/A,Draw.io,No,Rating[Sem; Correctness; True; Qual; subj]; Rating[Sem; Completeness; True; Qual; subj],No,No,No,Open,No,No,N/A,https://github.com/gunturbudi/drawio_llm
OLaLa: Ontology Matching with Large Language Models,2023,Knowledge Capture Conference,Conference,Proposed method,Model matching,N/A,Software Engineering Models and Methods,N/A,DSL,Ontology,General,LLaMA,Few-shot,No,N/A,Matching EvaLuation Toolkit (MELT)~\cite{hertling2019melt},No,No,Total task duration,No,Unspecified,Open,No,No,N/A,No
Using Grammar Masking to Ensure Syntactic Validity in LLM-based Modeling Tasks,2024,International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,Workshop,Proposed method,Model generation,Standard language每based modeling; Domain-specific modeling,Software Requirements,Requirement Specification,UML; DSL,Class; DSM,General,[LLaMA; Phi; Gemma; Mistral],Few-shot+Iterative(Tool),No,N/A,No,No,% of correct outputs[Syn; Correctness; False; Quant; obj],Inference/generation time,No,LLM-based,Open,No,No,N/A,https://github.com/Lukas-Netz/llm4mbse-synthetic-artifacts
From Requirements to Architecture: An AI-Based Journey to Semi-Automatically Generate Software Architectures,2024,International Workshop on Designing Software,Workshop,New idea or vision,Model generation,Standard language每based modeling,Software Architecture,Architecture Synthesis,UML,Class; Use Case,General,[LLaMA; GPT],Zero-shot+Prompt Chaining+Iterative(Human),No,N/A,PlantUML,Feedback-based refinement; Decision or selection,No,No,No,No,Open,No,No,N/A,No
Large language models in complex system design,2024,Design Society,Journal,Benchmarking and evaluation,Model generation,Standard language每based modeling,Software Design,Model-Based Design,UML,Component,Aerospace,GPT,Zero-shot,No,N/A,PlantUML,No,No,No,No,No,Closed,No,No,N/A,No
Extracting Business Process Entities and?Relations from?Text Using Pre-trained Language Models and?In-Context Learning,2022,"International Conference on Enterprise Design, Operations, and Computing",Conference,Proposed method,Model element extraction,N/A,Unspecified context,N/A,BPMN,Process,General,GPT,Few-shot+Prompt Chaining,No,N/A,No,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,LLM-based,Open,No,https://pdi.fbk.eu/pet/edoc2022/edoc2022_material.zip,N/A,https://pdi.fbk.eu/pet/edoc2022/edoc2022_material.zip
Large Language Models Can Accomplish Business Process Management Tasks,2024,Business Process Management Workshops,Workshop,Proposed method,Model generation; Model classification,Standard language每based modeling; Formal process modeling,Software Engineering Models and Methods,N/A,BPMN; Declare,Process,General,GPT,[Zero-shot]; [Zero-shot; One-shot]; [Zero-shot; One-shot],No,N/A,No,No,Recall[Sem; Completeness; True; Quant; obj]; Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,[Rule-based]; [Rule-based]; [Traditional ML],Open,No,https://gitlab.uni-mannheim.de/jpmac/llms-in-bpm/-/tree/main?ref_type=heads,N/A,https://gitlab.uni-mannheim.de/jpmac/llms-in-bpm/-/tree/main?ref_type=heads
How Can Generative AI Empower Domain Experts in Creating Process Models?,2024,Wirtschaftsinformatik,Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,BPMN,Process,General,GPT,Zero-shot,No,N/A,[Mermaid.js; Graphviz],No,Jaccard similarity[Sem; Completeness; True; Quant; obj]; Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; Rating[Sem; Correctness; True; Qual; subj],No,No,Rule-based,Open,No,No,N/A,(1) https://huggingface.co/datasets/patriziobellan/PET; (2) https://zenodo.org/records/7783492
Efficient LLM-Based Conversational Process Modeling,2024,Business Process Management Workshops,Workshop,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,BPMN,Process,General,GPT,Zero-shot+Iterative(Human)+Role,No,N/A,bpmn.js,Feedback-based refinement,Rating[Sem; Correctness; True; Qual; subj],No,Token consumption,LLM-based,Open,No,https://github.com/BPMN-Chatbot/bpmn-chatbot-archive,N/A,https://github.com/BPMN-Chatbot/bpmn-chatbot-archive
Evaluating the Ability of LLMs to Solve Semantics-Aware Process Mining Tasks,2024,International Conference on Process Mining,Conference,Benchmarking and evaluation,"Model analysis; 
Model completion",N/A,Software Engineering Models and Methods,N/A,DSL,Process,General,[LLaMA; Mistral],Few-shot,Fine-tuning,[LLaMA; Mistral],No,No,Macro F1[Sem; Correctness+Completeness; True; Quant; obj],Training effort,No,[Random; LLM-based],Open,https://github.com/a-rebmann/llms4pm,No,No,https://zenodo.org/records/14273161
On the potential of large language models to solve semantics-aware process mining tasks,2025,Process Science,Journal,Benchmarking and evaluation,Model analysis; Model completion; Model generation,N/A,Software Engineering Models and Methods,N/A,DSL,Process,General,[LLaMA; Mistral],Few-shot,Fine-tuning,[LLaMA; Mistral],No,No,Macro F1[Sem; Correctness+Completeness; True; Quant; obj]; Footprint-based fitness[Sem; Correctness; True; Quant; obj],Training effort,No,[Rule-based; Random; LLM-based]; [Rule-based; Random; LLM-based]; [Rule-based; Random; LLM-based]; [Random; LLM-based]; [Random; LLM-based],Open,https://github.com/a-rebmann/llms4pm,No,No,https://zenodo.org/records/14273161
Automated Business Process Analysis: An LLM-Based Approach to?Value Assessment,2025,International Conference on Advanced Information Systems Engineering Forum and Doctoral Consortium,Conference,New idea or vision,Model analysis,N/A,Software Engineering Models and Methods,N/A,BPMN,Process,General,GPT,Few-shot+Prompt Chaining+Role,No,N/A,No,No,% of correct elements[Sem; Correctness; True; Quant; obj]; % of granularity variations[Sem; Granularity; True; Quant; obj]; % of incorrect elements[Sem; Correctness; True; Quant; obj],No,No,LLM-based,Open,https://github.com/wdemichele/WIPE,https://github.com/wdemichele/WIPE,N/A,https://github.com/wdemichele/WIPE
Conversational Business Process Modeling using LLMs: Initial Results and Challenges,2025,International Workshop on Enterprise Modelling and Information Systems Architectures,Workshop,Benchmarking and evaluation,Model generation,Standard language每based modeling,Unspecified context,N/A,BPMN,Process,General,[LLaMA; Qwen; DeepSeek],One-shot+Iterative(Tool),No,N/A,No,No,Rating[Syn; Correctness; False; Qual; subj]; Pragmatic rating[Sem; Human-centric; True; Qual; subj]; Rating[Sem; Correctness; True; Qual; subj],No,No,No,Open,No,No,N/A,No
"Abstractions, Scenarios, and?Prompt Definitions for?Process Mining with?LLMs: A Case Study",2023,Business Process Management Workshops,Workshop,Proposed method,Model comprehension,N/A,Software Engineering Models and Methods,N/A,Petri Net,Process,General,GPT,Zero-shot,No,N/A,PM4Py,No,No,No,No,No,Open,No,No,N/A,https://data.4tu.nl/articles/ /12683249/1; https://data.4tu.nl/collections/ /5065541/1; https://data.4tu.nl/articles/ /12707639/1; https://data.4tu.nl/articles/ /12707639/1
Conceptual design of multidimensional cubes with LLMs: An investigation,2025,Data & Knowledge Engineering,Journal,Benchmarking and evaluation,Model generation,Domain-specific modeling,Software Design,Model-Based Design,DSL,Dimensional Fact,General,GPT,[Zero-shot+Role; Few-shot+Chain-of-thought+Role],No,N/A,No,No,F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,No,Open,https://github.com/big-unibo/llm4dfm,https://github.com/big-unibo/llm4dfm,N/A,https://github.com/big-unibo/llm4dfm
Leveraging LLMs to support co-evolution between definitions and instances of textual DSLs,2025,Large Language Models for Software Engineering WorkshopLLM4SE,Workshop,Proposed method,Model evolution,N/A,Software Engineering Models and Methods,N/A,DSL,DSM,General,[Claude; GPT],Zero-shot,No,N/A,No,No,# of syntactic errors[Syn; Correctness; False; Quant; obj]; # of correct elements[Sem; Correctness; True; Quant; obj]; # of incorrect elements[Sem; Correctness; True; Quant; obj]; # of preserved auxiliary elements[Sem; Human-centric; True; Quant; obj]; # of missing auxiliary elements[Sem; Human-centric; True; Quant; obj],No,No,No,Open,https://osf.io/dhjw2/,https://osf.io/dhjw2/,N/A,https://osf.io/dhjw2/
Towards Human-Bot Collaborative Software Architecting with ChatGPT,2023,International Conference on Evaluation and Assessment in Software Engineering,Conference,New idea or vision,"Model generation;
Model analysis",Standard language每based modeling,Software Architecture,"Architecture Analysis;
Architecture Synthesis;
Architecture Evaluation",UML,Class; Component,General,GPT,Zero-shot+Prompt Chaining,No,N/A,PlantUML,No,No,No,No,No,No,No,No,N/A,No
Conceptual Modeling and Large Language Models: Impressions From First Experiments With ChatGPT,2023,Enterprise Modelling and Information Systems Architectures,Journal,Benchmarking and evaluation,Model generation; Model comprehension,Standard language每based modeling; Data modeling,Unspecified context,N/A,ER; BPMN; UML; DSL,ER; Process; Class; DSM,General,GPT,One-shot; One-shot; One-shot; Zero-shot; One-shot,No,N/A,PlantUML,No,No,No,No,No,Open,No,Appendix,N/A,Appendix
Leveraging synthetic trace generation of modeling operations for intelligent modeling assistants using large language models,2025,Information and Software Technology,Journal,Proposed method,Model operation,N/A,Software Engineering Models and Methods,N/A,Ecore,DSM,CPS,[Gemini; GPT; LLaMA; Mistral; Claude],Few-shot,No,N/A,[Eclipse Modeling Framework; Modeling Event Recorder (MER)~\cite{dehghani2023towards}; MORGAN~\cite{di2023morgan}; HEPSYCODE; CAEX],No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],Inference/generation time; Total task duration,No,No,"Closed; 
Industrial - closed",https://github.com/hepsycode/MASTER-LLM-IST,https://github.com/hepsycode/MASTER-LLM-IST,N/A,No
Combining Retrieval-Augmented Generation and Few-Shot Learning for Model Synthesis of Uncommon DSLs,2024,Modellierung 2024 - Workshopband,Workshop,Proposed method,Model generation,Domain-specific modeling,Unspecified context,N/A,DSL,Sequence,General,GPT,[Zero-shot; One-shot; Few-shot],RAG,GPT,No,No,Error rate[Syn; Correctness; False; Quant; obj],No,No,No,Unspecified,No,No,N/A,No
Modeling meets Large Language Models,2024,Modellierung 2024 - Workshopband,Workshop,Proposed method,Model generation; Model transformation,Formal process modeling,Unspecified context,N/A,Petri Net,Process,General,GPT,Zero-shot,No,N/A,Horus Business Modeler,No,No,No,No,No,Closed,No,https://github.com/KIT-BIS/bpm-tool,N/A,No
On the Use of GPT-4 for Creating Goal Models: An Exploratory Study,2023,International Requirements Engineering Conference Workshops,Workshop,Benchmarking and evaluation,Model generation,Goal modeling,Software Requirements,Requirement Specification,GRL,Goal,General,GPT,[Zero-shot+Iterative(Unspecified); One-shot+Iterative(Unspecified)],No,N/A,No,No,% of correct elements[Sem; Correctness; True; Quant; obj]; % of incorrect elements[Sem; Correctness; True; Quant; obj]; % of relevant additional elements[Sem; Correctness; True; Quant; obj]; % of covered elements[Sem; Completeness; True; Quant; obj],No,No,No,Open,https://github.com/ChenKua/GRL_GPT,No,N/A,https://github.com/ChenKua/GRL_GPT
Requirements Modeling Aided by ChatGPT: An Experience in Embedded Systems,2023,International Requirements Engineering Conference Workshops,Workshop,Proposed method,Model generation,Domain-specific modeling,Software Requirements,Requirement Specification,DSL,Problem,Embedded system,GPT,Zero-shot,No,N/A,No,No,# of covered elements[Sem; Completeness; True; Quant; obj],No,No,No,Open,No,No,N/A,http://re4cps.org:8027/?pdf=DigitalHomeRequirementsSpecification.pdf
Large Language Models in Enterprise Modeling: Case Study and Experiences,2024,International Conference on Model-Based Software and Systems Engineering,Conference,Benchmarking and evaluation,Model generation,Standard language每based modeling,Unspecified context,N/A,BPMN,Process,General,GPT,Zero-shot+Prompt Chaining,No,N/A,No,No,No,Total task duration,No,No,Closed,No,No,N/A,No
On the Use of GPT-4 in the Reverse Engineering of Class Diagrams,2025,Journal of Object Technology,Journal,Benchmarking and evaluation,Model-driven reverse engineering,N/A,Software Maintenance,Reverse Engineering,UML,Class,General,GPT,Zero-shot,No,N/A,PlantUML,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,No,Open,https://figshare.com/s/6c01826d12037ada78da,https://figshare.com/s/6c01826d12037ada78da,N/A,No
Exploring Large Language Models＊ Ability to Describe Entity-Relationship Schema-Based Conceptual Data Models,2025,Information,Journal,Benchmarking and evaluation,Model comprehension,N/A,Software Engineering Models and Methods,N/A,ER,ER,General,[GPT; LLaMA; Gemini; Mistral],Few-shot,No,N/A,No,No,No,No,No,No,Open,No,No,N/A,https://github.com/AndreaAvignone/ER2Text
"Test Generation from Use Case Specifications for IoT Systems: Custom, LLM-Based, and Hybrid Approaches",2025,"IEEE Conference on Software Testing, Verification and Validation",Conference,New idea or vision,Model-based test generation,N/A,Software Testing,Test Design and Implementation,DSL,Use Case,IoT,GPT,Unspecified,No,N/A,No,No,No,No,No,No,Closed,No,No,N/A,No
Human-AI Collaboration for?Business Process Modeling with?Petri Nets,2025,"Enterprise, Business-Process and Information Systems Modeling (BPMDS, EMMSAD)",Conference,Proposed method,Model generation,Formal process modeling,Unspecified context,N/A,Petri Net,Process,General,GPT,Few-shot+Self-Refine+Role+Negative+Iterative(Human),No,N/A,Horus Business Modeler,Knowledge elicitation,# of correct outputs[Syn; Correctness; False; Quant; obj]; Rating[Sem; Correctness; True; Qual; subj],No,No,No,Open,https://github.com/KIT-BIS/human-ai-modeling,No,N/A,https://huggingface.co/datasets/bis-aifb-kit/process_descriptions_for_modeling
Large Language Models as an Assistant to Interpret UML Models in Model-Based Engineering: An Exploratory Study,2025,Sustainable Energy and Artificial Intelligence,Journal,Benchmarking and evaluation,Model comprehension,N/A,Software Engineering Models and Methods,N/A,UML,Class; Use Case; Component,Education,[GPT; Gemini],Zero-shot,No,N/A,No,No,No,No,No,No,Closed,No,No,N/A,No
Activity Recommendation for Business Process Modeling with Pre-trained Language Models,2023,European Semantic Web Conference,Conference,Proposed method,Model completion,N/A,Software Engineering Models and Methods,N/A,DSL,Process,General,T5,Zero-shot,Fine-tuning,T5,No,No,Hits@k[Syn; Correctness; True; Quant; obj]; BLEU@k[Syn; Correctness; True; Quant; obj]; METEOR@k[Sem; Correctness+Completeness; True; Quant; obj]; Cosine similarity@k[Sem; Correctness; True; Quant; obj],No,No,Rule-based,Open,https://github.com/disola/bpart5,No,No,No
Local Large Language Models for?Business Process Modeling,2024,Process Mining Workshops,Workshop,Proposed method,Model generation,Domain-specific modeling,Unspecified context,N/A,DSL,Process,General,LLaMA,Zero-shot,Fine-tuning,LLaMA,No,No,F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,No,Open,https://github.com/ApaydinK/local-LLMs-for-process-modelling?tab=readme-ov-file,No,https://huggingface.co/ApaydinK/lora_model_process_tree_generator,https://github.com/ApaydinK/local-LLMs-for-process-modelling?tab=readme-ov-file
A Decomposed Hybrid Approach to?Business Process Modeling with?LLMs,2024,International Conference on Cooperative Information Systems,Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,BPMN,Process,General,GPT,Few-shot+Prompt Chaining+Iterative(Tool)+Role,No,N/A,No,Manual editing,# of specific elements[Sem; Complexity; False; Quant; obj]; Rating[Sem; Correctness; True; Qual; subj]; Rating[Sem; Completeness; True; Qual; subj]; Relevance rating[Sem; Hallucination; True; Qual; subj]; Understandability rating[Sem; Human-centric; True; Qual; subj]; Ease of updating rating[Sem; Human-centric; True; Qual; subj],Total task duration,Token consumption,LLM-based,Open,No,No,N/A,No
LLM-based System Design Automation (LSDA) Using Generative AI: Exploring a Formalized Framework Based on Experiments,2025,AI and Semantic Technologies for Intelligent Info Systems,Conference,Benchmarking and evaluation,Model generation,Standard language每based modeling; Data modeling; Ontology learning,Software Design,Model-Based Design,UML; BPMN; DSL; ER,Class; Sequence; Process; Ontology; ER,General,GPT,Zero-shot,No,N/A,No,No,No,No,No,No,Open,No,No,N/A,Appendix
Generative AI for Business Model Generation (GAI4BM): from Textual Description to Business Process Model,2024,International Food Operations and Processing Simulation Workshop,Workshop,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,BPMN,Process,General,GPT,Zero-shot,No,N/A,No,No,No,No,No,No,No,No,No,N/A,No
Towards Taming Large Language Models with?Prompt Templates for?Legal GRL Modeling,2024,"Enterprise, Business-Process and Information Systems Modeling (BPMDS, EMMSAD)",Conference,Proposed method,Model generation,Goal modeling,Software Requirements,Requirement Specification,Legal GRL,Goal,General,GPT,Zero-shot+Chain-of-thought+Prompt Chaining,No,N/A,No,Manual editing,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj],No,No,No,Open,No,https://docs.google.com/document/d/1uktW42yKTwzLz7cl1Xg_KYJKV9BsSJ3RD4BCtQmxp1U/edit?tab=t.0,N/A,https://tinyurl.com/ycxajsf4
Using LLMs for Use Case Modelling of IoT Systems: An Experience Report,2024,International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,Workshop,Benchmarking and evaluation,Model generation,Domain-specific modeling,Software Requirements,Requirement Specification,DSL,Use Case,IoT,[GPT; Gemni],Few-shot,No,N/A,No,No,# of correct elements[Sem; Correctness; True; Quant; obj]; # of hallucinated elements[Sem; Hallucination; True; Quant; obj]; # of relevant additional elements[Sem; Correctness; True; Quant; obj]; # of missing elements[Sem; Completeness; True; Quant; obj],No,No,No,Open,No,https://github.com/mde-tmu/LLM4UCM,N/A,https://github.com/mde-tmu/LLM4UCM
Toward a Method to Generate Capability Ontologies from Natural Language Descriptions,2024,International Conference on Emerging Technologies and Factory Automation,Conference,Proposed method,Model generation,Ontology learning,Software Engineering Models and Methods,N/A,OWL,Ontology,General,[GPT; Claude],Few-shot+Iterative(Tool),No,N/A,Apache Jena Framework,Manual editing,No,No,No,No,No,https://github.com/CaSkade-Automation/LLM4Cap,No,N/A,No
MAPE-K Loop-Based Goal Model Generation Using Generative AI,2023,International Requirements Engineering Conference Workshops,Workshop,Proposed method,Model generation,Goal modeling,Software Requirements,Requirement Specification,DSL,Goal,General,GPT,Zero-shot+Self-Refine+Role,No,N/A,No,No,No,No,No,No,Closed,No,No,N/A,No
On the Utility of Domain Modeling Assistance with Large Language Models,2025,ACM Transactions on Software Engineering and Methodology,Journal,Proposed method,Model completion,N/A,Software Engineering Models and Methods,N/A,UML,Class,General,GPT,Few-shot+Prompt Chaining,No,N/A,[Eclipse Sirius Editor; Eclipse Modeling Framework],No,Contribution rate[Sem; Complexity; False; Quant; obj]; Overlap coefficient[Sem; Complexity; False; Quant; obj]; % of correct elements[Sem; Correctness; True; Quant; obj],Total task duration,No,No,Open,https://github.com/geodes-sms/MAGDA; https://github.com/meriembenchaaben/UtilityOfDomainModelCompletion-replicationPackage,No,N/A,https://github.com/meriembenchaaben/UtilityOfDomainModelCompletion-replicationPackage
Evaluation of GPT-generated conceptual models based on verbal descriptions: accuracy and quality analysis,2025,International Conference on Information Technology,Conference,Benchmarking and evaluation,Model generation,Standard language每based modeling; Data modeling,Unspecified context,N/A,UML; ER,Class; ER,General,GPT,Unspecified,No,N/A,No,No,# of correct elements[Sem; Correctness; True; Quant; obj]; Jaccard similarity[Sem; Consistency; True; Quant; obj],No,No,No,Closed,No,No,N/A,No
"Software Model Evolution with Large Language Models: Experiments on Simulated, Public, and Industrial Datasets",2025,International Conference on Software Engineering,Conference,Proposed method,Model completion,N/A,Software Engineering Models and Methods,N/A,Unspecified,Unspecified,General,GPT,Few-shot,RAG,GPT,[Eclipse Modeling Framework; SiDiff Framework~\cite{schmidt2008constructing}],No,No,No,No,LLM-based,Industrial - closed; Open,https://github.com/se-sic/icse_model_completion,Appendix,N/A,https://github.com/se-sic/icse_model_completion
Harnessing LLM Conversations for Goal Model Generation from User Reviews,2024,International Conference on Agents and Artificial Intelligence,Conference,Proposed method,Model generation,Goal modeling,Software Requirements,Requirement Specification,DSL,Goal,General,GPT,Zero-shot+Prompt Chaining,No,N/A,No,Decision or selection,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; TEDS (Tree-Edit-Distance-based Similarity)[Sem; Correctness; True; Quant; obj],No,No,Unspecified,Closed,No,No,N/A,No
Prompting GPT ? 每4 to support automatic safety case generation,2024,Expert Systems with Applications,Journal,Benchmarking and evaluation,Model generation,Goal modeling,Software Requirements,Requirement Specification,GSN,Safety Case,General,GPT,[Zero-shot+Role; One-shot+Role],No,N/A,No,No,Similarity rating[Syn; Correctness; True; Qual; subj]; Reasonability rating[Sem; Correctness; True; Qual; subj]; Cosine similarity[Sem; Correctness; True; Quant; obj],No,No,No,Closed,No,Appendix,N/A,No
Automatic instantiation of assurance cases from patterns using large language models,2025,Journal of Systems and Software,Journal,Benchmarking and evaluation,Model generation,Goal modeling,Software Requirements,Requirement Specification,GSN,Assurance Case,General,GPT,[Zero-shot+Chain-of-thought+Role; One-shot+Chain-of-thought+Role],No,N/A,No,No,EM (Exact match)[Syn; Correctness; True; Quant; obj]; BLEU[Syn; Correctness; True; Quant; obj]; Cosine similarity[Sem; Correctness; True; Quant; obj]; Reasonability rating[Sem; Correctness; True; Qual; subj],No,No,No,Open,https://figshare.com/articles/dataset/Automatic_Instantiation_of_Assurance_Cases_from_Patterns_Using_Large_Language_Models/27103225/2,No,N/A,https://figshare.com/articles/dataset/Automatic_Instantiation_of_Assurance_Cases_from_Patterns_Using_Large_Language_Models/27103225/2
Using GPT-4 Turbo to Automatically Identify Defeaters in Assurance Cases,2024,International Requirements Engineering Conference Workshops,Workshop,Proposed method,Model completion,N/A,Software Engineering Models and Methods,N/A,EA,Assurance Case,General,GPT,[Zero-shot+Chain-of-thought+Role; One-shot+Chain-of-thought+Role],No,N/A,No,No,EM (Exact match)[Syn; Correctness; True; Quant; obj]; BLEU[Syn; Correctness; True; Quant; obj]; Cosine similarity[Sem; Correctness; True; Quant; obj]; Reasonability rating[Sem; Correctness; True; Qual; subj],No,No,No,Open; Closed,https://github.com/kimixz/GPT4-Turbo-AC/tree/main,https://github.com/kimixz/GPT4-Turbo-AC/tree/main,N/A,No
Neural Text Generators in Enterprise Modeling: Can Chatgpt be Used as Proxy Domain Expert?,2023,International Conference on Information Systems Development,Conference,Benchmarking and evaluation,Model generation,Enterprise modeling,Software Requirements,Requirement Specification,4EM,Process; Goal,General,GPT,Zero-shot,No,N/A,No,No,No,No,No,No,Closed,No,No,N/A,No
Towards an Automatic Extracting UML Class Diagram from System's Textual Specification,2024,"International Conference On Networking, Intelligents Systems and Security",Conference,New idea or vision,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Class,General,Unspecified,Unspecified,No,N/A,No,No,No,No,No,No,No,No,No,N/A,No
Experiments On GPT-3 Assisted Process Model Development,2023,International Conference on Modelling and Simulation,Conference,Benchmarking and evaluation,Model generation,Formal process modeling,Unspecified context,N/A,Petri Net,Process,General,GPT,Zero-shot+Prompt Chaining,No,N/A,No,No,No,No,No,No,Closed,No,No,N/A,No
LLMs4OL: Large Language Models for?Ontology Learning,2023,International Semantic Web Conference,Conference,Proposed method,Model generation,Ontology learning,Software Engineering Models and Methods,N/A,DSL,Ontology,General,[BERT; BLOOM; LLaMA; GPT; BART; T5],Zero-shot,Instruction tuning,T5,No,No,MAP@k[Sem; Correctness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,No,Open,https://github.com/HamedBabaei/LLMs4OL,https://github.com/HamedBabaei/LLMs4OL,No,https://github.com/HamedBabaei/LLMs4OL
Navigating Ontology Development with?Large Language Models,2024,European Semantic Web Conference,Conference,Benchmarking and evaluation,Model generation,Ontology learning,Unspecified context,N/A,OWL,Ontology,General,GPT,[Zero-shot; Chain-of-thought; Prompt Chaining; Decomposed; Chain-of-thought+Self-Consistency; Graph-of-thought],No,N/A,No,No,No,No,No,No,Open,No,https://github.com/LiUSemWeb/LLMs4OntologyDev-ESWC2024,N/A,https://github.com/LiUSemWeb/LLMs4OntologyDev-ESWC2024
ProcessGPT: Transforming Business Process Management with Generative Artificial Intelligence,2023,International Conference on Web Services,Conference,New idea or vision,Model completion,N/A,Software Engineering Models and Methods,N/A,Unspecified,Process,General,Unspecified,Iterative(Human),No,N/A,No,Feedback-based refinement,No,No,No,No,No,No,No,N/A,No
Can Multimodal Large Language Models Grade Like an Expert? A Study on UML Class Diagram Assessment Accuracy,2025,Computer Applications in Engineering Education,Journal,Benchmarking and evaluation,Model analysis,N/A,Software Engineering Models and Methods,N/A,UML,Class,General,[GPT; Gemni; Nova; Claude],Zero-shot+Role,No,N/A,No,No,No,No,No,No,Closed,No,No,N/A,No
"Using LLMs to extract OCL specifications from Java and
Python programs: an empirical study",2025,"Joint Proceedings of the STAF 2025 Workshops: OCL, OOPSLE, LLM4SE, ICMM, AgileMDE, AI4DPS, and TTC",Workshop,Proposed method,Model-driven reverse engineering,N/A,Software Maintenance,Reverse Engineering,OCL,Constraint,General,[StarCoder; LLaMA; Mistral; DeepSeek],Zero-shot,No,N/A,No,No,% of correct outputs[Syn; Correctness; False; Quant; obj]; Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,No,Open,No,https://zenodo.org/records/15108575,N/A,https://zenodo.org/records/15108575
Closed-Loop Multi-Agent Framework for Airborne Systems MBSE Requirements Standardization,2025,IEEE China Conference on System Simulation Technology and its Applications,Conference,Proposed method,N/A,N/A,Software Requirements,Requirement Specification; Requirement Analysis,N/A,N/A,Aerospace,DeepSeek,Zero-shot+Role+Iterative(Human),Multi-agent,DeepSeek,"Eclipse Capella
",Feedback-based refinement,No,No,No,No,Closed,No,No,N/A,No
Towards Human-in-the-Loop LLM-Enabled Domain Modeling,2025,International Conference on Conceptual Modeling,Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Class,General,GPT,Tree-of-Thoughts+Iterative(Human),No,N/A,No,Knowledge elicitation,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,LLM-based,Open,https://github.com/BESSER-PEARL/TOT-Q,No,N/A,https://github.com/BESSER-PEARL/TOT-Q
